O=C1C[C@]([H])(OC=2/C=C(/O)C=C(O)C1=2)C3=CC(OC)=C(O)C=C3,Compound445
O=C1C(OC)=C(OC=2C=C(/C=C(/OC)C1=2)OC)C3=CC(OC)=C(C=C3)OC,Compound446
O=C(/C=C/C1=C/C(OC)=C(C=C1)OC)C2=CC=CC=C2,Compound447
O=C(/C=C/C1=C/C=C(C=C1)OC)C2=CC=C(C=C2)OC,Compound448
O=C1C3=C(O/C=C1/C2=C/C=C(C=C2)OC)C=C(/C=C3/O)OC,Compound449
O=C1C(=COC=2C=C(C=CC1=2)OC)C3=CC=C(C=C3)OC,Compound450
O=C1C=C(OC2=C1C(O)=CC(O)=C2OC)C3=CC=CC=C3,Compound451
OC[C@]1([H])NCCCC1,Compound454
O=C1C(=COC=2/C=C(/O)C=CC1=2)C3=CC(O)=C(O)C=C3,Compound455
O=C1C3=C(O/C=C1/C2=C/C=C(/O)C=C2)C=C(/C=C3/O)O[C@@]4([H])O[C@@]([H])(CO)[C@@](O)([H])[C@](O)([H])[C@@]4(O)[H],Compound456
O=C1C=C(OC2=CC(OC)=C(OC)C(OC)=C12)C3=CC(OC)=C(C=C3)OC,Compound457
O=C2C(O[C@]1([H])O[C@]([H])(CO)[C@](O)([H])[C@@](O)([H])[C@]1(O)[H])=C(OC=3/C=C(/O)C=C(O)C2=3)C4=CC(O)=C(O)C=C4,Compound458
O=C1C(=COC=2C=C(C=CC1=2)OC(C)(C)[H])C3=CC=CC=C3,Compound459
COC1([H])CCNCC1,Compound460
